ID,Môn học,Cấp học,Độ khó,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Đáp án đúng,Giải thích (Đáp án gốc)
11,Tin học,Tiểu học,Trung bình,Mật khẩu mạnh nên có đặc điểm gì?,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán.","Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.","Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.","Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",A,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán."
12,Tiếng Anh,THPT,Trung bình,Câu điều kiện loại 1 thường dùng để diễn tả điều gì?,'Book' nghĩa là 'quyển sách'.,She doesn't like apples.,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.",C,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.
13,Lịch sử,Tiểu học,Trung bình,Ngày Quốc khánh Việt Nam là ngày nào?,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",B,Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.
14,Lịch sử,THPT,Khó,Toàn cầu hóa có những tác động chủ yếu nào đối với các quốc gia?,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.,Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,A,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng."
15,Ngữ văn,THCS,Trung bình,Hoán dụ là gì?,Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,D,Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.
16,Vật lý,THCS,Trung bình,Công thức tính vận tốc là gì?,Vận tốc trung bình là 120/2 = 60 km/h.,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",Động năng được tính bằng Wđ = 1/2 mv².,B,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.
17,Sinh học,THCS,Khó,Hãy cho biết Vì sao hô hấp tế bào quan trọng đối với cơ thể?,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.",DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,A,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.
18,Hóa học,THCS,Trung bình,Em hãy giải thích: Nguyên tử gồm những thành phần cơ bản nào?,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.",Nước có công thức hóa học là H₂O.,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,C,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân."
19,Tin học,THCS,Trung bình,Em hãy giải thích: Biến trong chương trình dùng để làm gì?,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,"Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.","Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.","Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.",A,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.
20,Sinh học,THPT,Trung bình,Gen là gì?,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,C,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.
21,Giáo dục kinh tế & pháp luật,THPT,Khó,Em hãy giải thích: Vì sao lạm phát cao có thể gây khó khăn cho nền kinh tế?,"Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài.",Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.,"Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền.",A,"Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài."
22,Tin học,Tiểu học,Dễ,Chuột máy tính dùng để làm gì?,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.","Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.","Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",C,"Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn."
23,Khoa học,Tiểu học,Trung bình,Vì sao chúng ta cần ăn nhiều loại thực phẩm khác nhau?,Động năng được tính bằng Wđ = 1/2 mv².,Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.,"Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp.","Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể.",B,Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.
24,Tiếng Anh,Tiểu học,Trung bình,Điền từ thích hợp: 'I ___ a student.',"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại.",Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,Từ thích hợp là 'am'.,D,Từ thích hợp là 'am'.
25,Vật lý,THCS,Khó,Một xe đi 120 km trong 2 giờ. Vận tốc trung bình của xe là bao nhiêu?,Động năng được tính bằng Wđ = 1/2 mv².,Động năng là 1/2 × 2 × 3² = 9 J.,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",Vận tốc trung bình là 120/2 = 60 km/h.,D,Vận tốc trung bình là 120/2 = 60 km/h.
26,Tin học,Tiểu học,Trung bình,Hãy cho biết Mật khẩu mạnh nên có đặc điểm gì?,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.","Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.","Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán.",D,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán."
27,Toán,THPT,Khó,Tích phân ∫ từ 0 đến 1 của 2x dx bằng bao nhiêu?,f'(x)=2x.,Giá trị tích phân là [x²] từ 0 đến 1 = 1.,x = 4.,Chu vi là 6 × 4 = 24 cm.,B,Giá trị tích phân là [x²] từ 0 đến 1 = 1.
28,Vật lý,THCS,Trung bình,Hãy cho biết Công thức tính vận tốc là gì?,Vận tốc trung bình là 120/2 = 60 km/h.,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,"Đơn vị của lực là niutơn, ký hiệu N.","Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",B,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.
29,Tiếng Anh,THPT,Trung bình,Hãy cho biết Câu điều kiện loại 1 thường dùng để diễn tả điều gì?,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,They are not playing football.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại.",A,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.
30,Toán,Tiểu học,Trung bình,"Hãy cho biết Một cửa hàng có 48 quyển vở, bán 19 quyển. Còn lại bao nhiêu quyển?",x = 4.,Còn lại 29 quyển vở.,Hai nghiệm là x = 2 và x = 3.,7 nhân 8 bằng 56.,B,Còn lại 29 quyển vở.
31,Sinh học,THPT,Khó,Em hãy giải thích: Đột biến gen là gì?,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.",Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,A,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật."
32,Tin học,THPT,Khó,Độ phức tạp O(n log n) có ý nghĩa gì?,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.",Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.","Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",C,"Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort."
33,Lịch sử,THPT,Trung bình,Em hãy giải thích: Liên Hợp Quốc được thành lập nhằm mục tiêu lớn nào?,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.","Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",A,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia."
34,Tiếng Anh,THPT,Dễ,Câu bị động trong tiếng Anh thường có cấu trúc cơ bản như thế nào?,She doesn't like apples.,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.","'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp.",D,"Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp."
35,Vật lý,THCS,Khó,Em hãy giải thích: Một xe đi 120 km trong 2 giờ. Vận tốc trung bình của xe là bao nhiêu?,Động năng là 1/2 × 2 × 3² = 9 J.,"Đơn vị của lực là niutơn, ký hiệu N.",Vận tốc trung bình là 120/2 = 60 km/h.,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",C,Vận tốc trung bình là 120/2 = 60 km/h.
36,Hóa học,THCS,Dễ,Em hãy giải thích: Nước có công thức hóa học là gì?,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",Nước có công thức hóa học là H₂O.,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,B,Nước có công thức hóa học là H₂O.
37,Địa lý,THPT,Trung bình,Em hãy giải thích: Cơ cấu kinh tế gồm những khu vực chính nào?,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.",Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,Thủ đô của Việt Nam là Hà Nội.,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",D,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ."
38,Địa lý,THCS,Trung bình,Vì sao miền Bắc Việt Nam có mùa đông lạnh hơn miền Nam?,"Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng.",Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,Thủ đô của Việt Nam là Hà Nội.,Việt Nam nằm ở khu vực Đông Nam Á.,B,Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.
39,Lịch sử,THPT,Dễ,Chiến tranh thế giới thứ hai kết thúc vào năm nào?,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.",C,Chiến tranh thế giới thứ hai kết thúc vào năm 1945.
40,Địa lý,THPT,Khó,Em hãy giải thích: Vì sao phát triển kinh tế cần gắn với bảo vệ môi trường?,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,Thủ đô của Việt Nam là Hà Nội.,"Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng.","Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.",D,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn."
41,Tiếng Anh,THCS,Dễ,Thì hiện tại đơn thường được dùng trong trường hợp nào?,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",She doesn't like apples.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp.",A,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra."
42,Địa lý,THCS,Trung bình,Em hãy giải thích: Vì sao miền Bắc Việt Nam có mùa đông lạnh hơn miền Nam?,"Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng.",Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,Thủ đô của Việt Nam là Hà Nội.,B,Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.
43,Giáo dục kinh tế & pháp luật,THPT,Khó,Vì sao lạm phát cao có thể gây khó khăn cho nền kinh tế?,"Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp.",Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.,"Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền.","Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài.",D,"Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài."
44,Toán,THCS,Dễ,Em hãy giải thích: Số nguyên là gì?,Có 16 học sinh nữ và 16 học sinh nam.,Chu vi là 6 × 4 = 24 cm.,7 nhân 8 bằng 56.,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",D,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương."
